locationname,locationaddress
Enfield Park,37 A Enfield Ave
Eringate Park,121 Wellesworth Dr
Erwin Krickhahn Park,121 Rankin Cres
Esther Lorrie Park,50 Westhumber Blvd
Etienne Brule Park,13 Crosby Ave
Etobicoke Valley Park,615 Horner Ave
Euclid Avenue Parkette,711 Euclid Ave
Evergreen Gardens Park,23 Evergreen Gdns
Exbury Park,128 Exbury Rd
Fairbank Memorial Park,2213 Dufferin St
Fairchild Parkette,51B Fairchild Ave
Fairfield Park,90 Lothian Ave
Fairford Avenue Parkette,68 Fairford Ave
Fairglen Park,16 Corinthian Blvd
Fairhaven Park,100 Golfwood Hts
Fairmeadow Parkette,37 Fairmeadow Ave
Fairmount Park,1725 Gerrard St E
Falstaff Park,50 Falstaff Ave
Fanfare Park,40 Fanfare Ave
Farmcrest Parkette,2485 Victoria Park Ave
Farquharson Park,250 Pitfield Rd
Father Caulfield Park,19 Cameron Cres
Felstead Avenue Playground,60 Felstead Ave
Fennimore Park,78 Fennimore Cres
Fenside Park,30 Slidell Cres
Fergy Brown Park,3700 Eglinton Ave W
Fernalroy Blvd Parkette,Fernalroy Blvd
Ferrand Drive Park,251 Ferrand Dr
Festival Park,200 Fisherville Rd
Fieldway Parkette,240 Van Dusen Blvd
Finch - Humberline Sportsfields,6897 Finch Ave W
Finch - Islington Park,2750 Islington Ave
Finch Parkette,Finch Ave
Fiona Nelson Parkette,45 Imperial St
Firgrove Park,254 Firgrove Cres
Firvalley Woods,656 Warden Ave
Flagstaff Park,42 Mercury Rd
Flemingdon Park,150 Grenoble Dr
Flemington Park,2 A Flemington Rd
Flora Voisey Park,67 Yachters Lane
Florence Gell Park,85 Varsity Rd
Forest Hill Road Park,179 A Forest Hill Rd
Fountainhead Park,445 Sentinel Rd
Four Oaks Gate Park,388 A O'Connor Dr
Frank Faubert Wood Lot,185 Borough Dr
Frank Stollery Parkette,1 Davenport Rd
Frankel - Lambert Park,340 Christie St
Franklin Park,138 Franklin Ave
Fraserwood Park,57 Fraserwood Ave
Fred Hamilton Playground,155 Roxton Rd
Fred Johnson Park,3630 Kingston Rd
Fred Young Park,440 Cook Rd
